39,"000026520","*","-             ","  .  .  ",18100,0.72,0,1,13032,"",18100,"18%","00001","упак",1,"00001","0%","2000000000589"
40,"000051524","Озон ООО","050814        ","01.09.17",13,237.38,198,296,3085.94,"",3848,"10%","00001","упак",1,"00001","0%","2000005574450"
41,"000051524","Озон ООО","050814        ","01.09.17",10,243.98,198,300,2439.8,"",3000,"10%","00001","упак",1,"00001","0%","2000005671708"
42,"000056028","Ардейл","062010        ","01.06.15",50,2,0,2.2,100,"",110,"10%","00001","упак",1,"00001","0%","2000005354144"
43,"000061468","Армавир АЗРИ ОАО","70            ","01.09.14",30,5.7,0,6.5,171,"",195,"10%","00001","упак",1,"00001","0%","2000004003913"
44,"000061468","Армавир АЗРИ ОАО","70            ","01.09.14",150,5.7,0,6.3,855,"",945,"10%","00001","упак",1,"00001","0%","2000004072889"
45,"000051204","SF Medical Products GmbH","СН6-20130916  ","01.09.18",100,2.7,0,3,270,"",300,"10%","00001","упак",1,"00001","0%","2000003739714"
46,"000061152","Кимберли Кларк","-             ","  .  .  ",7,62.33,0,68,436.31,"",476,"18%","00001","упак",1,"00001","0%","2000003695232"
47,"000061152","Кимберли Кларк","-             ","  .  .  ",32,68.51,0,74.5,2192.32,"",2384,"18%","00001","упак",1,"00001","0%","2000004334192"
48,"000027132","*","б/с           ","25.12.13",10,28.01,28.01,30.5,280.1,"",305,"18%","00001","упак",1,"00001","0%","2000004235888"
49,"000057037","Norton/Айвэкс","AER95A        ","01.09.17",43,116.05,86.5,134,4990.15,"",5762,"10%","00001","упак",1,"00001","0%","2000005671722"
50,"000028169","KRKA","L69688        ","01.04.15",10,48.62,44.2,53.5,486.2,"",535,"10%","00001","упак",1,"00001","0%","2000005450778"
51,"000027751","KRKA","L69537        ","01.03.15",10,52.91,48.1,58,529.1,"",580,"10%","00001","упак",1,"00001","0%","2000005450785"
52,"000046366","*","-             ","  .  .  ",2,2030,0,2538,4060,"",5076,"0%","00001","упак",1,"00001","0%","2000005664243"
53,"000048119","*","-             ","  .  .  ",3,2391,0,2989,7173,"",8967,"0%","00001","упак",1,"00001","0%","2000005664250"
